name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra
Portfolio,AmiteyeEmmanuel,"This is my Portfolio. It was build and design with html, Css, javascript, Node.js, for the logo design it was designed with adobe illustrator (SVG).",https://github.com/AmiteyeEmmanuel/Portfolio,2023-01-01,1,1,0,0,0,0,0,3319,,"JavaScript,HTML,CSS,SCSS",HTML,,,,
HQwery2,hiroto99,,https://github.com/hiroto99/HQwery2,2023-01-01,1,1,1,0,0,2,0,3647,,Dockerfile,Dockerfile,,,"javascript,powershell,shell-script,shell-scripts,hqwery,scss",
tournament-gaming-project,beydemirfurkan,gaming-tournament-project,https://github.com/beydemirfurkan/tournament-gaming-project,2023-01-01,1,1,0,0,0,0,0,83306,,"HTML,CSS,JavaScript,SCSS",HTML,,,"css3,html5,javascript,scss,bootstrap5,jquery",
ip-geolocation,raghvendra-shukla,This application locate the coordinates of the location given by the IP address provided by you.,https://github.com/raghvendra-shukla/ip-geolocation,2023-01-01,1,1,1,0,0,0,0,319,,"HTML,CSS,JavaScript",JavaScript,,,"css,html,javascript,mapbox-gl-js,nodejs,reactjs",
laravel,gonzalo-garcian,Repository which I use to keep the history of everything I have done with PHP and Laravel,https://github.com/gonzalo-garcian/laravel,2023-01-01,1,1,0,0,0,0,0,58,,"PHP,Hack",PHP,,,"css,html,javascript,laravel,mvc,php",
The-Simon-Game,JohnnieOne,"A simple implementation of the classic simon memory game using basic frontend development: HTML, CSS (for the basic web page) and Javascript (for the game's functionality). ",https://github.com/JohnnieOne/The-Simon-Game,2023-01-01,1,1,0,0,0,0,0,48,,"HTML,JavaScript,CSS",JavaScript,,,,
Password-Strength-Checker,SyedMuhammadZaid,"It contains a password field, javascript is used completely to check the strength and weakness of password. Do read the txt file to know about it more. ",https://github.com/SyedMuhammadZaid/Password-Strength-Checker,2023-01-01,1,1,0,0,0,0,0,2,,"HTML,JavaScript,CSS",JavaScript,,,,
employee-management,cd3vane,CRUD Application with React.JS and Spring Boot,https://github.com/cd3vane/employee-management,2023-01-01,1,1,0,0,0,0,0,431,,"Java,HTML,CSS,JavaScript",JavaScript,,,"javascript,materializecss,reactjs,spring,spring-boot,rest-api",
hyperc,Lack-Zillions-Over,Caching in Node.js to optimize app performance,https://github.com/Lack-Zillions-Over/hyperc,2023-01-01,1,1,1,0,0,0,0,242,MIT,"Shell,Dockerfile,Makefile,JavaScript,TypeScript",TypeScript,,,"typescript,nodejs,redis,cache,node,javascript",
paro-rs,grayfallstown,"An opinionated way to develop tauri desktop applications where you do not write any client code (no javascript, no webassembly) as all html rendering and event handling is done inside your tauri application and pâro has the minimal client code that is still required already done for you.",https://github.com/grayfallstown/paro-rs,2023-01-01,1,1,3,0,0,4,0,566,MIT,"Rust,JavaScript,HTML,CSS",Rust,,example/html2maud,"gui,rust,tauri",
tenzies,netadror,A simple tenzies dice game built with React with darkmode and animation,https://github.com/netadror/tenzies,2023-01-01,1,1,0,0,0,0,0,1372,,"HTML,CSS,JavaScript",JavaScript,github-pages,,"confetti-animation,darkmode,javascript,nanoid,react,tenzies-game",
captive-portal-pfsense,CauanDZN,Captive Portal for PfSense.,https://github.com/CauanDZN/captive-portal-pfsense,2023-01-01,1,1,0,0,0,0,0,1778,NOASSERTION,"CSS,HTML",HTML,Production,,"captive-portal,captiveportal,css,html,javascript,pfsense",
Word-and-Character-Counter,ITZ-BURHAN-KHAN,"A Word and Character Counter is a JavaScript project that allows users to quickly and easily count the number of words and characters in a given piece of text. This type of tool is often used by writers and editors to track the length of their work, or by social media users to ensure that their posts meet platform guidelines.",https://github.com/ITZ-BURHAN-KHAN/Word-and-Character-Counter,2023-01-01,1,1,0,0,0,0,0,2,,HTML,HTML,github-pages,,"counter,html-css-javascript,javascript,javascript-applications,project,word",
