name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra
javascriptcollectioncdn,codejiangqihan,,https://github.com/codejiangqihan/javascriptcollectioncdn,2023-01-01,1,1,0,0,0,0,0,9,,,,,,,
cpp.js,bugra9,Bind c++ libraries to js on web and mobile.,https://github.com/bugra9/cpp.js,2023-01-01,1,3,7,2,0,6,25,3150,MIT,"CMake,JavaScript,Dockerfile,C++,SWIG,MDX,CSS",JavaScript,github-pages,,"cpp,emscripten,javascript,swig,webassembly",
quiz-game,alanbaltabay,Quiz in React.,https://github.com/alanbaltabay/quiz-game,2023-01-01,1,1,6,0,0,0,0,133,,"HTML,JavaScript,CSS",JavaScript,,,"javascript,react",
Rec.js,RealMCoded,A server replacement for old Rec Room builds,https://github.com/RealMCoded/Rec.js,2023-01-01,1,4,5,4,0,1,4,10534,AGPL-3.0,"JavaScript,Batchfile",JavaScript,github-pages,,"javascript,recnet,recroom,node-js,nodejs,rec-net,rec-room",
Javascript-Practise,Sooryajagadeesan,Javascript Learnings,https://github.com/Sooryajagadeesan/Javascript-Practise,2023-01-01,1,1,0,0,0,0,0,25,,"JavaScript,HTML",JavaScript,,,,
Javascript-prework,LidiiaRD,,https://github.com/LidiiaRD/Javascript-prework,2023-01-01,1,1,0,0,0,0,0,22250,,"HTML,JavaScript",JavaScript,,,,
eloquent-javascript,eduardo-pgoes,Sandbox for coding along the Eloquent JavaScript book and learning how to test with Jest.,https://github.com/eduardo-pgoes/eloquent-javascript,2023-01-01,1,1,0,0,0,0,0,4826,,JavaScript,JavaScript,,,,
Javascript-game,melanyhowell,,https://github.com/melanyhowell/Javascript-game,2023-01-01,1,1,0,0,0,0,0,90,,"Dockerfile,JavaScript,HTML",Dockerfile,,,,
javascript-practices,mamunkja,Javascript Practices I have completed.,https://github.com/mamunkja/javascript-practices,2023-01-01,1,1,0,0,0,0,0,0,,,,,,,
PS-javascript,xilucks,자바스크립트로 푸는 알고리즘 문제들 저장소,https://github.com/xilucks/PS-javascript,2023-01-01,1,1,0,0,0,0,0,19,,JavaScript,JavaScript,,,,
more-javascript,alnoman1620,,https://github.com/alnoman1620/more-javascript,2023-01-01,1,1,0,0,0,0,0,1,,JavaScript,JavaScript,,,,
javascript-documentation,Sajib-Bhattacharjee,"This course will help you to learn the fundamentals of programming with JavaScript scripting language, from the basics to advanced topics step-by-step.",https://github.com/Sajib-Bhattacharjee/javascript-documentation,2023-01-01,1,1,0,0,0,0,0,1076,,,,,,,
JAVA-JAVAscript,RedJungi,,https://github.com/RedJungi/JAVA-JAVAscript,2023-01-01,1,1,0,0,0,0,0,51,,Java,Java,,,,
001-Javascript,OneDay-OneCode,Happy New Year,https://github.com/OneDay-OneCode/001-Javascript,2023-01-01,1,0,0,0,0,0,0,2,MIT,JavaScript,JavaScript,,,,
javascript-drumkit,wph12,,https://github.com/wph12/javascript-drumkit,2023-01-01,1,1,0,0,0,0,0,1755,,"HTML,CSS",HTML,,,,
Javascript-practice,FahadKhanKabooro,,https://github.com/FahadKhanKabooro/Javascript-practice,2023-01-01,1,1,0,0,0,0,0,1090,,"JavaScript,HTML,CSS",JavaScript,github-pages,,,
javascript-hitashchodhery,DevendersinghRajput,this is a javascript coures in hindi lenguage - Hitash Chodhery,https://github.com/DevendersinghRajput/javascript-hitashchodhery,2023-01-01,1,1,0,0,0,0,0,36,,"JavaScript,HTML",JavaScript,,,,
Javascript-Exercise,hasan-abdullah-dev,,https://github.com/hasan-abdullah-dev/Javascript-Exercise,2023-01-01,1,1,0,0,0,0,0,1,,"HTML,JavaScript",JavaScript,,,,
algorithm-javascript,scottyuanau,,https://github.com/scottyuanau/algorithm-javascript,2023-01-01,1,1,0,0,0,0,0,78,,JavaScript,JavaScript,,,,
Javascript_Projects,prathmesh130,,https://github.com/prathmesh130/Javascript_Projects,2023-01-01,1,1,0,0,0,0,0,50880,,"HTML,JavaScript,CSS",JavaScript,,,,
learning-javascript,DEvilNightRaid,,https://github.com/DEvilNightRaid/learning-javascript,2023-01-01,1,1,0,0,0,0,0,6612,,"CSS,HTML,JavaScript",JavaScript,,,,
Jonas-javascript,mukul314,,https://github.com/mukul314/Jonas-javascript,2023-01-01,1,1,0,0,0,0,0,5,,"HTML,JavaScript,CSS",JavaScript,github-pages,,,
JavaScript_,ats166,,https://github.com/ats166/JavaScript_,2023-01-01,1,1,0,0,0,0,0,0,,,,,,,
